doxygen 1.8.18-2
dqlite 1.5.0-1
dragon-drag-and-drop-git 1.1.1.r0.g7ffcd70-1
dscanner 0.9.0-1
dsniff 2.4b1-28
dstat 0.7.4-5
dtkcore 1:5.2.2.1-1
dtkgui 5.2.2.1-1
dtkwidget 5.2.2.2-1
dtools 2.092.1-1
dub 1.21.0-1
duplicacy 2.6.1-1
dvdbackup 0.4.2-6
e2fsprogs 1.45.6-2
ebtables 2.0.10_4-8
ecl 20.4.24-2
ed 1.16-1
editorconfig-core-c 0.12.3-2
edk2-ovmf 202005-2
efibootmgr 17-1
efivar 37-4
electron7 7.1.14-6
elfutils 0.180-1
elixir 1.10.3-1
emacs 26.3-2
enchant 2.2.8-3
engrampa 1.24.0-1
entr 4.6-1
eric 20.6-1
erlang 23.0-1
erlang-docs 23.0-1
erlang-unixodbc 23.0-1
esptool 2.8-2
ethtool 1:5.7-1
evince 3.36.7-1
exfat-utils 1.3.0-2
exiv2 0.27.2-2
exo 0.12.11-5
expac 10-2
expat 2.2.9-3
expect 5.45.4-2
faac 1.30-2
faad2 2.9.2-1
fakepkg 1.41.1-1
fakeroot 1.24-2
fasd 1.0.1-3
fbcat 0.5.1-3
fbreader 0.99.4-9
fd 8.1.1-1
feh 3.4.1-1
ffcall 2.2-2
ffmpeg 2:4.2.3-2
ffmpegthumbnailer 2.2.2-2
fftw 3.3.8-3
figlet 2.2.5-4
file 5.39-1
filesystem 2020.05.20-1
fim 0.6-2
findutils 4.7.0-2
firefox 78.0.2-1
fish 3.1.2-2
flac 1.3.3-2
flex 2.6.4-3
fltk 1.3.5-2
fluidsynth 2.1.3-1
flyway 6.5.0-1
fman 1.6.2-1
fontconfig 2:2.13.91+48+gfcb0420-2
fortune-mod 2.12.0-1
fossil 2.11.1-1
fpc 3.2.0-1
fqgrep 0.4.4-1
freeglut 3.2.1-2
freehdl 0.0.8-10
freerdp 2:2.1.2-1
freetype2 2.10.2-1
fribidi 1.0.10-1
fstrm 0.6.0-2
fuse-common 3.9.2-1
fuse2 2.9.9-4
fuse3 3.9.2-1
fuseiso 20070708-8
fzf 0.21.1-2
garcon 0.6.4-2
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-ada 10.1.0-2
gcc-d 10.1.0-2
gcc-fortran 10.1.0-2
gcc-libs 10.1.0-2
gcolor2 0.4-9
gconf 3.2.6+11+g07808097-6
gcr 3.36-1
gd 2.3.0-1
gdb 9.2-1
gdb-common 9.2-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gdl 3.34.0-2
gegl 0.4.24-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20200609-1
gettext 0.20.2-1
gforth 0.7.3-1
ghc 8.10.1-2
ghc-libs 8.10.1-2
ghex 3.18.4-2
ghostscript 9.52-1
giflib 5.2.1-2
gimp 2.10.20-1
girara 0.3.4-2
git 2.27.0-1
git-extras 5.1.0-2
gitea 1.11.6-2
gitg 1:3.32.1+17+gb4c8155f-1
gitlab-runner 13.1.0-1
gksu 2.0.2-6
gl2ps 1.4.2-2
glade 3.36.0+1+g3907987d-1
gleam 0.7.1-1
glew 2.2.0-2
glew1.10 1.10.0-3
glfw-x11 3.3.2-1
glib 1.2.10-14
glib-networking 2.64.3-2
glib-perl 1.329-4
glib2 2.64.4-1
glibc 2.31-5
glibmm 2.64.2-1
glm 0.9.9.8-1
global 6.6.4-1
glpk 4.65-3
glslang 8.13.3743-1
glu 9.0.1-2
gmp 6.2.0-1
gmrun 0.9.5w-2
gnome-desktop 1:3.36.4-1
gnome-disk-utility 3.36.1-2
gnome-font-viewer 3.34.0+27+g5ffd1ba-1
gnome-keyring 1:3.36.0-1
gnome-screenshot 3.36.0-1
gnome-system-monitor 3.36.1-1
gnome-themes-extra 3.28-2
gnu-apl 1.8-2
gnu-free-fonts 20120503-8
gnucap 20171003-1
gnuchess 6.2.7-1
gnupg 2.2.21-1
gnuplot 5.2.8-2
gnutls 3.6.14-2
go 2:1.14.4-1
go-tools 2:1.14+3923+c00d67ef2-1
gobject-introspection-runtime 1.64.1-2
google-chrome 83.0.4103.116-1
gpart 0.3-4
gparted 1.1.0-1
gperf 3.1-3
gperftools 2.7-2
gpgme 1.13.1-7
gphotofs 0.5-3
gpick 0.2.6rc1-7
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
gradle 6.5-1
grafana 7.0.6-1
grantlee 5.2.0-3
graphene 1.10.2-1
graphicsmagick 1.3.35-2
graphite 1:1.3.14-1
graphviz 2.44.0-5
grep 3.4-1
groff 1.22.4-3
gsettings-desktop-schemas 3.36.1-1
gsettings-qt 0.1.20170110-3
gsfonts 20180524-3
gsl 2.6-2
gsm 1.0.19-1
gspell 1.8.3-1
gssdp 1.2.3-1
gst-libav 1.16.2-2
